Query 3 Results Monetdb


+----------+-------------------------------------------+-------------+---------+
| l_orderk | revenue                                   | o_orderdate | o_shipp |
|    98949 |                               203468.3446 | 1995-08-06  |       0 |
|   257795 |                               202100.3641 | 1995-07-01  |       0 |
|   248325 |                               201150.6759 | 1995-08-09  |       0 |
|   459682 |                               199738.7135 | 1995-07-29  |       0 |
|   271687 |                               197710.1366 | 1995-07-04  |       0 |
|    80198 |                               197531.7257 | 1995-07-14  |       0 |
|   242181 |                               195228.9774 | 1995-07-20  |       0 |
|   241569 |                               194196.1654 | 1995-08-04  |       0 |
|    71520 |                               193761.7588 | 1995-07-14  |       0 |
|   256999 |                               193627.2718 | 1995-07-21  |       0 |
|   107366 |                               193585.5080 | 1995-08-14  |       0 |
|   381411 |                               193284.5197 | 1995-07-19  |       0 |
|   372899 |                               192677.2320 | 1995-07-23  |       0 |
|   552448 |                               192092.7273 | 1995-07-25  |       0 |
|    67107 |                               191992.2294 | 1995-07-29  |       0 |
|   483814 |                               191713.2664 | 1995-08-08  |       0 |
|   580295 |                               191620.6640 | 1995-07-15  |       0 |
|   259429 |                               191500.4018 | 1995-07-18  |       0 |
|   431810 |                               191451.6699 | 1995-07-07  |       0 |
|    89025 |                               191435.2564 | 1995-07-20  |       0 |
|    92227 |                               191265.1738 | 1995-07-13  |       0 |
|   581888 |                               188153.9031 | 1995-08-05  |       0 |
|   140357 |                               187521.7160 | 1995-07-30  |       0 |
|   234598 |                               187098.6926 | 1995-07-14  |       0 |
|   194208 |                               185568.3261 | 1995-07-28  |       0 |
|   289607 |                               184446.3073 | 1995-08-03  |       0 |
|   294468 |                               184114.3768 | 1995-07-09  |       0 |
|   175490 |                               183473.0198 | 1995-07-27  |       0 |
|   526915 |                               182273.4526 | 1995-07-18  |       0 |
|   386465 |                               181839.2510 | 1995-08-14  |       0 |
|    91264 |                               181401.2202 | 1995-06-01  |       0 |
|   304615 |                               180407.0131 | 1995-06-10  |       0 |
|   181797 |                               179761.0159 | 1995-07-29  |       0 |
|   425063 |                               179434.6380 | 1995-05-31  |       0 |
|   138980 |                               178734.9306 | 1995-08-02  |       0 |
|   295812 |                               178093.1476 | 1995-08-13  |       0 |
|   464993 |                               177091.2981 | 1995-07-05  |       0 |
|   382503 |                               175734.6980 | 1995-05-25  |       0 |
|    47492 |                               175433.6738 | 1995-07-24  |       0 |
|   431495 |                               175078.4967 | 1995-08-03  |       0 |
|   254597 |                               174193.5476 | 1995-07-30  |       0 |
|     6918 |                               174062.8002 | 1995-07-02  |       0 |
|   576450 |                               173319.0682 | 1995-08-13  |       0 |
|   392292 |                               173167.8638 | 1995-07-24  |       0 |
|   338598 |                               173076.6226 | 1995-08-11  |       0 |
|   331846 |                               172921.4614 | 1995-06-18  |       0 |
|   351201 |                               172669.3042 | 1995-07-24  |       0 |
|   127392 |                               172463.1633 | 1995-08-05  |       0 |
|   466663 |                               172061.4616 | 1995-07-10  |       0 |
|   206176 |                               170412.9562 | 1995-08-12  |       0 |
|   316739 |                               169253.1960 | 1995-07-28  |       0 |
|   322916 |                               169107.4970 | 1995-08-12  |       0 |
|   291843 |                               167965.9270 | 1995-08-05  |       0 |
|    88068 |                               167730.6868 | 1995-07-04  |       0 |
|   260736 |                               166680.1710 | 1995-08-10  |       0 |
|   545152 |                               165895.5511 | 1995-07-26  |       0 |
|   282688 |                               164846.8651 | 1995-08-14  |       0 |
|   200035 |                               164568.5980 | 1995-08-08  |       0 |
|   317318 |                               163925.6615 | 1995-07-23  |       0 |
|   288995 |                               163884.1619 | 1995-07-22  |       0 |
|   213793 |                               163117.1182 | 1995-08-14  |       0 |
|   112704 |                               162931.0931 | 1995-07-25  |       0 |
|   347746 |                               162386.8326 | 1995-08-13  |       0 |
|   346215 |                               161002.2713 | 1995-06-30  |       0 |
|   174085 |                               160783.0248 | 1995-07-06  |       0 |
|   201698 |                               160340.4144 | 1995-08-01  |       0 |
|   371649 |                               159415.5834 | 1995-06-19  |       0 |
|   163846 |                               159369.6752 | 1995-07-24  |       0 |
|     6439 |                               159329.4720 | 1995-07-03  |       0 |
|   361920 |                               158923.7915 | 1995-07-13  |       0 |
|   394500 |                               158483.1711 | 1995-06-14  |       0 |
|   588384 |                               158053.1939 | 1995-07-17  |       0 |
|   126628 |                               156867.1093 | 1995-08-09  |       0 |
|   144836 |                               156421.9102 | 1995-06-29  |       0 |
|   598081 |                               155363.3228 | 1995-08-09  |       0 |
|   102599 |                               155221.3590 | 1995-08-11  |       0 |
|   230438 |                               155129.3395 | 1995-08-13  |       0 |
|   208288 |                               154362.8480 | 1995-08-08  |       0 |
|   189376 |                               154180.6936 | 1995-05-24  |       0 |
|    19041 |                               153960.5769 | 1995-07-27  |       0 |
|   143746 |                               153646.4781 | 1995-06-21  |       0 |
|   244035 |                               153224.2854 | 1995-08-13  |       0 |
|   167845 |                               153144.2488 | 1995-08-09  |       0 |
|   177702 |                               152783.8890 | 1995-07-05  |       0 |
|   116711 |                               152444.3518 | 1995-07-03  |       0 |
|    89765 |                               151113.9134 | 1995-07-17  |       0 |
|   519489 |                               150880.5302 | 1995-07-21  |       0 |
|   115491 |                               150659.9126 | 1995-08-04  |       0 |
|   556064 |                               150480.9678 | 1995-08-14  |       0 |
|   592451 |                               149717.3362 | 1995-08-10  |       0 |
|   410787 |                               149565.1811 | 1995-08-10  |       0 |
|    77700 |                               149312.1400 | 1995-07-03  |       0 |
|    99969 |                               148855.9840 | 1995-07-19  |       0 |
|   199232 |                               148816.0728 | 1995-08-13  |       0 |
|     9763 |                               148169.9258 | 1995-08-14  |       0 |
|   550086 |                               148049.9324 | 1995-06-29  |       0 |
|   286246 |                               147542.6220 | 1995-08-05  |       0 |
|   587141 |                               146960.2753 | 1995-07-29  |       0 |
|   468483 |                               146440.9153 | 1995-08-10  |       0 |
|   253958 |                               145827.1786 | 1995-07-01  |       0 |
|   185413 |                               145686.7829 | 1995-07-24  |       0 |
|   352613 |                               145326.5937 | 1995-07-30  |       0 |
|   445958 |                               145185.9422 | 1995-07-02  |       0 |
|   501860 |                               144857.3496 | 1995-07-09  |       0 |
|   535269 |                               144555.4056 | 1995-07-21  |       0 |
|   417475 |                               144394.2482 | 1995-08-07  |       0 |
|   298982 |                               143976.9967 | 1995-07-31  |       0 |
|   311748 |                               143684.1928 | 1995-06-28  |       0 |
|   544999 |                               143496.7756 | 1995-06-12  |       0 |
|    15619 |                               143159.2542 | 1995-06-29  |       0 |
|   152771 |                               142868.6688 | 1995-06-05  |       0 |
|   262084 |                               142863.7510 | 1995-07-18  |       0 |
|    57350 |                               142553.0667 | 1995-05-26  |       0 |
|   191078 |                               142078.2772 | 1995-07-04  |       0 |
|   361249 |                               141962.6444 | 1995-08-08  |       0 |
|    64768 |                               141843.4596 | 1995-06-03  |       0 |
|   597024 |                               141717.5466 | 1995-08-09  |       0 |
|   347909 |                               141097.3824 | 1995-06-04  |       0 |
|    26145 |                               141076.0188 | 1995-07-05  |       0 |
|   353280 |                               140836.7992 | 1995-06-30  |       0 |
|    61923 |                               140583.1873 | 1995-07-18  |       0 |
|   542151 |                               140279.6402 | 1995-07-11  |       0 |
|   102212 |                               139953.9931 | 1995-07-24  |       0 |
|    99457 |                               139767.3360 | 1995-07-15  |       0 |
|   379204 |                               139710.9814 | 1995-07-26  |       0 |
|   506758 |                               138897.5517 | 1995-05-26  |       0 |
|    96448 |                               138862.5176 | 1995-05-19  |       0 |
|    17958 |                               138689.4194 | 1995-08-12  |       0 |
|   412034 |                               138293.0578 | 1995-07-26  |       0 |
|   562436 |                               138236.1669 | 1995-07-11  |       0 |
|   492838 |                               137762.7745 | 1995-07-31  |       0 |
|   442432 |                               137305.4935 | 1995-05-27  |       0 |
|   321953 |                               136964.5657 | 1995-07-05  |       0 |
|    50563 |                               136491.9525 | 1995-07-17  |       0 |
|   384071 |                               136328.1018 | 1995-07-13  |       0 |
|   439685 |                               135698.7106 | 1995-07-23  |       0 |
|   169031 |                               135441.7250 | 1995-07-01  |       0 |
|   501152 |                               134842.6315 | 1995-07-10  |       0 |
|   307367 |                               134592.1947 | 1995-07-21  |       0 |
|   267463 |                               134334.2709 | 1995-07-07  |       0 |
|   563429 |                               134245.5744 | 1995-06-24  |       0 |
|   584611 |                               134196.6480 | 1995-08-10  |       0 |
|    26243 |                               134006.3224 | 1995-07-17  |       0 |
|   467235 |                               133629.0179 | 1995-07-26  |       0 |
|     8743 |                               133461.3318 | 1995-08-01  |       0 |
|   469861 |                               133339.5195 | 1995-06-22  |       0 |
|   188036 |                               133136.6040 | 1995-05-31  |       0 |
|   409253 |                               132992.4463 | 1995-08-14  |       0 |
|   422851 |                               132934.5961 | 1995-07-27  |       0 |
|   588231 |                               132841.7143 | 1995-07-19  |       0 |
|   150438 |                               132512.2609 | 1995-06-04  |       0 |
|   292615 |                               132441.7272 | 1995-08-03  |       0 |
|   269568 |                               132376.3100 | 1995-07-18  |       0 |
|    59042 |                               131735.1133 | 1995-07-11  |       0 |
|   179296 |                               131442.1140 | 1995-08-13  |       0 |
|   345728 |                               131310.5925 | 1995-06-24  |       0 |
|   401671 |                               130914.9591 | 1995-07-28  |       0 |
|   190948 |                               130666.9085 | 1995-07-04  |       0 |
|   544263 |                               130657.3618 | 1995-07-14  |       0 |
|   538273 |                               130507.2626 | 1995-08-08  |       0 |
|   101665 |                               130182.5862 | 1995-07-10  |       0 |
|   139941 |                               129962.0149 | 1995-08-05  |       0 |
|   443969 |                               129539.5230 | 1995-07-01  |       0 |
|   335905 |                               129537.1384 | 1995-07-08  |       0 |
|   577478 |                               129523.9512 | 1995-06-27  |       0 |
|   356800 |                               129448.7345 | 1995-07-10  |       0 |
|   545767 |                               129170.2346 | 1995-07-18  |       0 |
|   317219 |                               128931.6093 | 1995-07-23  |       0 |
|   369351 |                               128776.3590 | 1995-07-15  |       0 |
|   475559 |                               128659.5620 | 1995-07-20  |       0 |
|   261319 |                               127981.6580 | 1995-07-03  |       0 |
|   495110 |                               127651.4282 | 1995-08-13  |       0 |
|   468032 |                               126875.5604 | 1995-08-13  |       0 |
|   445473 |                               126628.4365 | 1995-06-28  |       0 |
|   158343 |                               126584.4438 | 1995-08-01  |       0 |
|   492482 |                               126331.8168 | 1995-06-12  |       0 |
|   312224 |                               125664.5376 | 1995-08-07  |       0 |
|    66757 |                               124910.4090 | 1995-06-22  |       0 |
|   157318 |                               124348.2388 | 1995-06-13  |       0 |
|   468611 |                               124306.1942 | 1995-07-18  |       0 |
|   215939 |                               123981.4809 | 1995-07-19  |       0 |
|   504583 |                               123830.8499 | 1995-06-23  |       0 |
|   333989 |                               123613.5325 | 1995-05-18  |       0 |
|    31938 |                               122832.0580 | 1995-07-28  |       0 |
|    13506 |                               122590.3134 | 1995-07-22  |       0 |
|   327105 |                               122104.4810 | 1995-07-07  |       0 |
|   545188 |                               122009.9554 | 1995-06-26  |       0 |
|   164230 |                               121999.6981 | 1995-05-17  |       0 |
|    31812 |                               121971.8411 | 1995-08-01  |       0 |
|   178081 |                               121731.6380 | 1995-07-30  |       0 |
|    93153 |                               121684.9875 | 1995-08-01  |       0 |
|   467843 |                               121361.2830 | 1995-08-10  |       0 |
|   511648 |                               121277.5745 | 1995-06-12  |       0 |
|   568612 |                               121112.5668 | 1995-07-13  |       0 |
|   547008 |                               120610.5095 | 1995-08-03  |       0 |
|   378369 |                               120606.1768 | 1995-07-30  |       0 |
|   230432 |                               120575.1014 | 1995-07-01  |       0 |
|   112326 |                               120118.1590 | 1995-07-14  |       0 |
|   275109 |                               120032.4888 | 1995-06-14  |       0 |
|   410855 |                               119686.7522 | 1995-08-05  |       0 |
|   562564 |                               119675.7913 | 1995-06-28  |       0 |
|   284417 |                               119456.7648 | 1995-07-24  |       0 |
|    13953 |                               119376.9213 | 1995-06-01  |       0 |
|   490117 |                               119103.3672 | 1995-06-21  |       0 |
|    42278 |                               119089.8630 | 1995-06-09  |       0 |
|   533184 |                               118977.5345 | 1995-06-25  |       0 |
|   424166 |                               118477.1400 | 1995-07-13  |       0 |
|   110375 |                               118354.0342 | 1995-07-09  |       0 |
|   444451 |                               118324.3400 | 1995-07-20  |       0 |
|   542212 |                               117811.0570 | 1995-07-19  |       0 |
|   491809 |                               117730.0976 | 1995-07-08  |       0 |
|   236163 |                               115910.0208 | 1995-06-27  |       0 |
|    26370 |                               115798.6184 | 1995-08-09  |       0 |
|   355872 |                               115768.9452 | 1995-06-10  |       0 |
|   179969 |                               115475.0310 | 1995-08-01  |       0 |
|    79010 |                               114839.6976 | 1995-05-20  |       0 |
|   112935 |                               114791.9724 | 1995-06-28  |       0 |
|   595302 |                               114790.1550 | 1995-06-13  |       0 |
|     6754 |                               114275.9034 | 1995-08-12  |       0 |
|   330882 |                               114138.0930 | 1995-07-22  |       0 |
|   253028 |                               113761.3314 | 1995-06-24  |       0 |
|   357892 |                               113664.7080 | 1995-06-24  |       0 |
|   136898 |                               113548.2793 | 1995-07-09  |       0 |
|   390951 |                               113439.6248 | 1995-06-13  |       0 |
|    34663 |                               113380.2307 | 1995-07-07  |       0 |
|   330050 |                               113037.2124 | 1995-06-18  |       0 |
|   542758 |                               112888.3768 | 1995-06-24  |       0 |
|   216416 |                               112649.8047 | 1995-06-28  |       0 |
|   301188 |                               112606.2488 | 1995-07-20  |       0 |
|   423392 |                               112439.4708 | 1995-07-01  |       0 |
|   480838 |                               112321.0710 | 1995-06-21  |       0 |
|   395207 |                               112170.4144 | 1995-08-12  |       0 |
|   407649 |                               111878.6616 | 1995-08-14  |       0 |
|    68418 |                               111856.3714 | 1995-07-23  |       0 |
|   562880 |                               111762.8743 | 1995-07-13  |       0 |
|   298049 |                               111646.8657 | 1995-06-25  |       0 |
|   245121 |                               111100.2958 | 1995-06-05  |       0 |
|   519072 |                               111060.5896 | 1995-07-18  |       0 |
|   256166 |                               110927.8263 | 1995-07-07  |       0 |
|   136455 |                               110386.6754 | 1995-06-19  |       0 |
|    51589 |                               110305.4420 | 1995-06-04  |       0 |
|   266625 |                               110008.5879 | 1995-07-17  |       0 |
|   162754 |                               109232.6843 | 1995-06-13  |       0 |
|   298309 |                               109180.9600 | 1995-06-14  |       0 |
|    50593 |                               108463.8936 | 1995-07-01  |       0 |
|   235841 |                               108388.5264 | 1995-07-30  |       0 |
|    88838 |                               108265.6785 | 1995-07-11  |       0 |
|    94178 |                               107065.6727 | 1995-05-13  |       0 |
|   319078 |                               107020.4113 | 1995-08-10  |       0 |
|   490210 |                               106772.1690 | 1995-06-14  |       0 |
|   264576 |                               106681.6167 | 1995-08-10  |       0 |
|   376291 |                               106180.1829 | 1995-07-18  |       0 |
|   147456 |                               106161.1200 | 1995-08-01  |       0 |
|   161380 |                               105989.6337 | 1995-06-30  |       0 |
|   473126 |                               105951.9420 | 1995-06-21  |       0 |
|   508033 |                               105730.5402 | 1995-06-10  |       0 |
|   528417 |                               105580.1475 | 1995-06-27  |       0 |
|   355842 |                               105562.4544 | 1995-08-09  |       0 |
|   588261 |                               105044.5858 | 1995-06-13  |       0 |
|   266051 |                               105010.2430 | 1995-07-11  |       0 |
|   326880 |                               104953.2472 | 1995-08-08  |       0 |
|   530977 |                               104801.3800 | 1995-06-15  |       0 |
|   534593 |                               104420.1659 | 1995-06-23  |       0 |
|   140097 |                               104195.7941 | 1995-08-03  |       0 |
|   193542 |                               103825.3250 | 1995-08-02  |       0 |
|   105444 |                               103491.5582 | 1995-07-08  |       0 |
|   329095 |                               103484.5517 | 1995-06-16  |       0 |
|   349632 |                               103426.8103 | 1995-06-23  |       0 |
|   130502 |                               103377.4918 | 1995-07-03  |       0 |
|   284930 |                               103206.7510 | 1995-06-11  |       0 |
|   454114 |                               103187.9502 | 1995-08-12  |       0 |
|    81510 |                               102580.0689 | 1995-06-09  |       0 |
|   392998 |                               102568.3791 | 1995-05-18  |       0 |
|   574180 |                               102496.1084 | 1995-07-13  |       0 |
|   212967 |                               102024.1143 | 1995-08-04  |       0 |
|    65634 |                               101888.1360 | 1995-06-05  |       0 |
|    22534 |                               101347.8756 | 1995-07-19  |       0 |
|   236453 |                               101293.4130 | 1995-06-01  |       0 |
|   552611 |                               101265.1876 | 1995-06-04  |       0 |
|    91744 |                               101054.7575 | 1995-06-12  |       0 |
|   446371 |                               100894.3884 | 1995-07-11  |       0 |
|   198534 |                               100869.9765 | 1995-08-07  |       0 |
|   445507 |                               100833.5878 | 1995-07-09  |       0 |
|   307942 |                               100661.2144 | 1995-08-03  |       0 |
|   343524 |                               100593.3120 | 1995-08-09  |       0 |
|     4871 |                               100410.8437 | 1995-06-12  |       0 |
|   534275 |                                99797.9580 | 1995-08-11  |       0 |
|    62885 |                                99718.5900 | 1995-05-15  |       0 |
|   312486 |                                99685.5478 | 1995-07-30  |       0 |
|   300833 |                                99677.5228 | 1995-06-13  |       0 |
|   237920 |                                99659.5808 | 1995-07-19  |       0 |
|   429057 |                                99611.4782 | 1995-06-01  |       0 |
|   266080 |                                99103.9549 | 1995-08-11  |       0 |
|    33061 |                                98777.7145 | 1995-07-16  |       0 |
|    62631 |                                98735.6114 | 1995-07-25  |       0 |
|   417891 |                                98678.1382 | 1995-06-10  |       0 |
|   416197 |                                98461.8692 | 1995-06-09  |       0 |
|   508194 |                                98349.5365 | 1995-07-05  |       0 |
|   535586 |                                98246.4570 | 1995-05-27  |       0 |
|   557857 |                                98237.3983 | 1995-08-13  |       0 |
|   482564 |                                98091.9366 | 1995-07-01  |       0 |
|   509312 |                                97801.0480 | 1995-06-24  |       0 |
|   547270 |                                97604.4414 | 1995-07-09  |       0 |
|   595460 |                                97418.2624 | 1995-06-26  |       0 |
|    46336 |                                97327.7334 | 1995-07-30  |       0 |
|   174306 |                                97259.3753 | 1995-07-31  |       0 |
|   164198 |                                96873.8045 | 1995-06-14  |       0 |
|   581314 |                                96857.1531 | 1995-07-11  |       0 |
|   114502 |                                96772.2765 | 1995-08-03  |       0 |
|   258148 |                                96638.4476 | 1995-07-11  |       0 |
|     2785 |                                96411.0420 | 1995-07-21  |       0 |
|   476646 |                                96324.4008 | 1995-05-27  |       0 |
|   423074 |                                95821.8531 | 1995-07-01  |       0 |
|    47809 |                                95754.0212 | 1995-06-27  |       0 |
|   569344 |                                95133.3782 | 1995-05-24  |       0 |
|   259142 |                                95123.1096 | 1995-07-31  |       0 |
|   491557 |                                95071.2158 | 1995-06-20  |       0 |
|    87142 |                                94607.1323 | 1995-07-10  |       0 |
|   335046 |                                94535.3866 | 1995-08-08  |       0 |
|   420961 |                                94120.1754 | 1995-07-18  |       0 |
|   143489 |                                93884.2473 | 1995-08-02  |       0 |
|   146244 |                                93430.0770 | 1995-07-16  |       0 |
|    59812 |                                93276.4777 | 1995-06-23  |       0 |
|   120258 |                                93105.3927 | 1995-05-30  |       0 |
|   271139 |                                92792.0070 | 1995-06-18  |       0 |
|   322215 |                                92644.2846 | 1995-07-06  |       0 |
|   544932 |                                92438.9704 | 1995-06-01  |       0 |
|   436036 |                                92416.0735 | 1995-07-30  |       0 |
|    52642 |                                92374.3380 | 1995-06-15  |       0 |
|   371265 |                                92176.8408 | 1995-05-09  |       0 |
|   240807 |                                91748.6579 | 1995-08-06  |       0 |
|   118595 |                                91406.4040 | 1995-06-11  |       0 |
|   195875 |                                91403.7196 | 1995-07-16  |       0 |
|    31620 |                                91255.9226 | 1995-08-12  |       0 |
|   269093 |                                91165.9194 | 1995-06-10  |       0 |
|   406310 |                                91154.1178 | 1995-06-27  |       0 |
|   453923 |                                90948.8642 | 1995-06-23  |       0 |
|   509415 |                                90709.3536 | 1995-05-15  |       0 |
|   509926 |                                89748.1700 | 1995-06-17  |       0 |
|   180962 |                                89698.9884 | 1995-07-18  |       0 |
|   474755 |                                89587.8925 | 1995-07-01  |       0 |
|   563750 |                                89507.1800 | 1995-05-28  |       0 |
|   131265 |                                89479.2096 | 1995-06-22  |       0 |
|     8704 |                                89283.9914 | 1995-07-01  |       0 |
|    56768 |                                89274.6175 | 1995-07-28  |       0 |
|   103713 |                                89230.1117 | 1995-08-11  |       0 |
|   481543 |                                89091.1050 | 1995-06-01  |       0 |
|   465828 |                                88983.3510 | 1995-06-20  |       0 |
|    71815 |                                88883.8888 | 1995-07-15  |       0 |
|   240356 |                                88505.1960 | 1995-07-16  |       0 |
|   555333 |                                87502.2452 | 1995-06-23  |       0 |
|   526468 |                                87365.4766 | 1995-07-27  |       0 |
|   544103 |                                86289.4249 | 1995-08-02  |       0 |
|   322149 |                                86095.0526 | 1995-06-29  |       0 |
|   236838 |                                86060.9430 | 1995-08-14  |       0 |
|   565990 |                                85791.6112 | 1995-07-17  |       0 |
|   331303 |                                85542.8445 | 1995-06-23  |       0 |
|   567297 |                                85321.2097 | 1995-06-17  |       0 |
|   279874 |                                85133.1248 | 1995-06-09  |       0 |
|   455747 |                                85003.2710 | 1995-07-30  |       0 |
|   444645 |                                84785.8106 | 1995-05-14  |       0 |
|   497061 |                                84608.6433 | 1995-06-18  |       0 |
|   464390 |                                84560.7200 | 1995-06-07  |       0 |
|   484935 |                                84546.7008 | 1995-05-25  |       0 |
|   556550 |                                84535.3708 | 1995-06-28  |       0 |
|   271238 |                                84484.5015 | 1995-06-27  |       0 |
|   308674 |                                84194.4118 | 1995-07-25  |       0 |
|   452294 |                                83842.6527 | 1995-05-19  |       0 |
|   190886 |                                83749.2656 | 1995-05-30  |       0 |
|   536866 |                                83716.7362 | 1995-08-13  |       0 |
|   484384 |                                83046.8205 | 1995-06-01  |       0 |
|   587329 |                                83001.4464 | 1995-06-04  |       0 |
|   465408 |                                82376.6477 | 1995-07-22  |       0 |
|   222083 |                                82079.1360 | 1995-05-02  |       0 |
|   293958 |                                81945.1890 | 1995-08-07  |       0 |
|   477574 |                                81927.0500 | 1995-06-03  |       0 |
|   450439 |                                81866.8938 | 1995-05-28  |       0 |
|   228641 |                                81649.6554 | 1995-07-17  |       0 |
|   525253 |                                81527.3280 | 1995-07-09  |       0 |
|   461670 |                                81526.5884 | 1995-08-05  |       0 |
|   359879 |                                81373.9296 | 1995-06-25  |       0 |
|   259426 |                                81208.2810 | 1995-07-08  |       0 |
|   161440 |                                81150.3504 | 1995-07-26  |       0 |
|   106563 |                                80901.6229 | 1995-08-14  |       0 |
|   191750 |                                80821.2174 | 1995-07-23  |       0 |
|   469536 |                                80624.2436 | 1995-06-23  |       0 |
|   503970 |                                80460.9093 | 1995-08-10  |       0 |
|   508358 |                                79763.0034 | 1995-07-18  |       0 |
|   370629 |                                79698.3398 | 1995-07-02  |       0 |
|   517536 |                                79679.8727 | 1995-07-31  |       0 |
|   356967 |                                79552.3760 | 1995-07-21  |       0 |
|   546048 |                                79427.6428 | 1995-07-06  |       0 |
|   582274 |                                79327.4608 | 1995-07-04  |       0 |
|   220420 |                                79246.6224 | 1995-05-25  |       0 |
|   240129 |                                79218.2892 | 1995-07-04  |       0 |
|   219974 |                                79187.5200 | 1995-05-30  |       0 |
|   189122 |                                79111.5236 | 1995-07-22  |       0 |
|   571972 |                                78984.0072 | 1995-06-02  |       0 |
|   448544 |                                78734.5117 | 1995-08-02  |       0 |
|   485285 |                                78664.3200 | 1995-05-30  |       0 |
|   333248 |                                78542.9576 | 1995-08-12  |       0 |
|   202278 |                                78279.5006 | 1995-06-27  |       0 |
|    81158 |                                78180.6492 | 1995-06-01  |       0 |
|   178695 |                                78038.8064 | 1995-06-23  |       0 |
|   572293 |                                77938.4652 | 1995-07-05  |       0 |
|   196096 |                                77937.1698 | 1995-06-27  |       0 |
|   441633 |                                77931.0852 | 1995-06-05  |       0 |
|   400834 |                                77828.7519 | 1995-06-05  |       0 |
|   277926 |                                77737.2909 | 1995-07-13  |       0 |
|   538532 |                                77710.8082 | 1995-08-09  |       0 |
|   551649 |                                77555.2544 | 1995-05-26  |       0 |
|   102657 |                                77443.2990 | 1995-06-11  |       0 |
|   371939 |                                77420.6934 | 1995-08-01  |       0 |
|    65062 |                                76878.8964 | 1995-06-03  |       0 |
|   514021 |                                76859.5202 | 1995-06-27  |       0 |
|   277571 |                                76838.0638 | 1995-05-28  |       0 |
|   207236 |                                76505.0850 | 1995-07-15  |       0 |
|    17472 |                                76304.6400 | 1995-07-02  |       0 |
|   265540 |                                76207.0116 | 1995-06-21  |       0 |
|   322784 |                                76107.4800 | 1995-06-19  |       0 |
|   101863 |                                76033.1784 | 1995-07-09  |       0 |
|   166049 |                                75796.5644 | 1995-07-09  |       0 |
|   189828 |                                75686.3800 | 1995-05-07  |       0 |
|   210626 |                                75631.6800 | 1995-05-11  |       0 |
